year,program_group,university,avg_ege_paid,ege_change_prev_year,enrolled_paid,cost_of_education_rub,avg_ege_budget,enrolled_budget,ege_excludes_individual,gdp_per_capita_usd,gdp_usd_billion,gdp_rub_billion,inflation_rate_percent,mrot_rub,avg_salary_rub,real_salary_growth_percent,cpi_index,base_cpi,base_inflation_percent,gdp_deflator,population_million,unemployment_rate_percent
2024,Экономика,"Адыгейский гос. ун-т., г. Майкоп",58.6,-6.1,6,113.4,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,"Адыгейский гос. ун-т., г. Майкоп",55.7,-7.4,30,113.4,82.3,10,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Реклама и связи с общественностью,"Адыгейский гос. ун-т., г. Майкоп",52.0,4.7,2,113.4,70.2,12,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психология,"Адыгейский гос. ун-т., г. Майкоп",57.2,-10.8,3,113.4,68.7,22,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Физическая культура,"Адыгейский гос. ун-т., г. Майкоп",45.9,-2.4,2,158.3,63.3,50,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,"Адыгейский гос. ун-т., г. Майкоп",61.1,1.2,15,113.4,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информационная безопасность,"Адыгейский гос. ун-т., г. Майкоп",57.9,0.2,2,129.9,62.2,29,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Педагогическое образование,"Адыгейский гос. ун-т., г. Майкоп",56.3,4.1,14,113.4,65.8,146,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Лингвистика и иностранные языки,"Адыгейский гос. ун-т., г. Майкоп",61.3,5.7,17,113.4,76.6,25,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Сельское и рыбное хозяйство,Азово-Черноморский инженерный ин-т. - филиал Донского государственного аграрного ун-т.а в г. Зернограде,40.3,1.6,3,138.8,46.7,69,False,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Экономика,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",59.8,-3.4,19,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Международные отношения,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",51.2,-6.0,21,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Менеджмент,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",53.2,-2.6,16,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Психология,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",59.9,0.2,19,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Информатика и вычислительная техника,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",51.9,-2.3,92,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Реклама и связи с общественностью,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",62.1,4.8,13,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Сфера обслуживания,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",47.8,0.2,7,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Педагогическое образование,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",58.8,-6.5,38,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Дизайн,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",58.2,-6.5,97,134.5,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Государственное и муниципальное управление,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",50.3,-14.2,14,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Юриспруденция,"Академия маркетинга и социально-информационных технологий - ИМСИТ, г. Краснодар",65.2,0.2,11,100.1,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Реклама и связи с общественностью,"Академия труда и социальных отношений, г. Москва",54.8,-3.4,16,210.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
2024,Лингвистика и иностранные языки,"Академия труда и социальных отношений, г. Москва",55.1,-5.5,10,210.0,74.6,0,True,10.4,2.02,32.3,7.4,19.2,75.0,8.5,251.3,100.6,7.15,129.4,146.2,2.9
